"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 29 14:42:42 IST 2024","Thu Feb 29 14:42:55 IST 2024","13058","Testcases","test_login_params_003","Test_LoginParams","","","test_Login_params_004[DataForLogin1]",""
"passed","Thu Feb 29 14:41:39 IST 2024","Thu Feb 29 14:42:59 IST 2024","79955","Testcases","test_AddCustomer_DDT_005","Test_AddCustomer_DDT","","","test_AddCustomer_DDT_006",""
"passed","Thu Feb 29 14:41:37 IST 2024","Thu Feb 29 14:42:00 IST 2024","23119","Testcases","test_login_params_003","Test_LoginParams","","","test_Login_params_004[DataForLogin0]",""
"passed","Thu Feb 29 14:41:36 IST 2024","Thu Feb 29 14:42:00 IST 2024","23985","Testcases","test_Login_001","Test_UserLogin","","","test_Login_002",""
"passed","Thu Feb 29 14:41:36 IST 2024","Thu Feb 29 14:42:16 IST 2024","39788","Testcases","test_AddCustomer_004","Test_AddCustomer","","","test_Add_Customer_005",""
"passed","Thu Feb 29 14:43:10 IST 2024","Thu Feb 29 14:43:22 IST 2024","12131","Testcases","test_login_params_003","Test_LoginParams","","","test_Login_params_004[DataForLogin2]",""
"passed","Thu Feb 29 14:41:38 IST 2024","Thu Feb 29 14:41:39 IST 2024","998","Testcases","test_Login_001","Test_UserLogin","","","Non-com Test Page title","Test description"
"passed","Thu Feb 29 14:41:37 IST 2024","Thu Feb 29 14:42:16 IST 2024","38842","Testcases","test_Search_edit_employee_006","Test_search_edit","","","test_search_edit_007",""
"passed","Thu Feb 29 14:42:29 IST 2024","Thu Feb 29 14:42:44 IST 2024","15148","Testcases","test_login_params_003","Test_LoginParams","","","test_Login_params_004[DataForLogin3]",""
"passed","Thu Feb 29 14:41:36 IST 2024","Thu Feb 29 14:42:45 IST 2024","69269","Testcases","test_login_DDT_002","Test_login_DDt","","","test_login_ddt_003",""
